Name,hs,dhw,hs_and_dhw,cs,el
B2777,38.833,1.847,40.68,0.0,1.824
B1518,48.436,2.042,50.478,0.0,2.967
B2011,129.707,3.569,133.27599999999998,0.0,25.818
B2005,132.94,2.765,135.70499999999998,0.0,4.611
B2763,32.049,4.251,36.3,0.0,7.25
B1242,479.49,10.49,489.98,0.0,107.0
B2993,30.904,1.2,32.104,0.0,2.8
B3455,97.334,2.895,100.229,0.0,4.361
B3333,0.0,0.0,0.0,0.0,0.118
B1524,31.086,2.417,33.503,0.0,5.688
B1530,49.313,1.155,50.468,0.0,2.736
B2039,0.0,0.0,0.0,0.0,0.411
B3327,0.0,0.0,0.0,0.0,0.096
B2987,47.077,1.244,48.321,0.0,3.31
B3441,21.821,1.291,23.112000000000002,0.0,1.684
B1256,285.029,5.971,291.0,0.0,59.429
B2978,0.0,0.0,0.0,0.0,0.109
B2788,9.397,0.742,10.139,0.0,2.134
B2950,79.969,4.237,84.20599999999999,0.0,6.605
B3496,446.428,7.16,453.588,0.0,139.588
B1281,75.727,4.448,80.17500000000001,0.0,7.941
B1295,414.561,11.608,426.169,0.0,48.361
B2944,32.028,1.263,33.291,0.0,3.0
B1283,57.638,7.075,64.713,0.0,13.411
B3494,999.581,312.182,1311.763,0.0,704.307
B2952,47.521,3.843,51.364000000000004,0.0,5.964
B3480,14.222,1.342,15.564,0.0,7.304
B2946,34.344,0.988,35.332,0.0,2.273
B1297,611.734,12.614,624.3480000000001,0.0,138.801
B1526,74.454,3.72,78.17399999999999,0.0,6.757
B3331,0.0,0.0,0.0,0.0,0.367
B2749,95.953,6.574,102.527,0.0,18.414
B3457,303.447,6.944,310.391,0.0,72.176
B2991,28.762,1.2,29.962,0.0,2.794
B1240,92.73,3.343,96.07300000000001,0.0,5.494
B1254,31.578,4.858,36.436,0.0,8.327
B3443,0.0,0.0,0.0,0.0,0.264
B2985,27.262,3.253,30.515,0.0,5.205
B3325,0.0,0.0,0.0,0.0,0.069
B1532,42.21,1.015,43.225,0.0,2.437
B2013,82.112,3.429,85.541,0.0,5.833
B2775,51.683,7.217,58.9,0.0,13.534
B2761,93.207,5.044,98.25099999999999,0.0,9.115
B1268,34.479,1.005,35.484,0.0,2.305
